id,name,city,address_1,address_2,lat,lon
11567572,"Facebook Headquarters","Menlo Park, CA 94025","1601 Willow Rd., Building 17",,37.483253,-122.15004
1159859,"Pivotal Labs ","San Francisco","875 Howard St.","5th floor",37.781929,-122.404176
11608602,"Runway Incubator","San Francisco","1355 Market St., Fourth Floor",,37.771416,-122.391251
11619022,"Elance","Mountain View","441 Logue Avenue",,37.398266,-122.049774
11621042,"Slalom Consulting","San Francisco","201 Spear Street #1550",,37.791183,-122.391792
11626472,"Faultline Brewing Company","Sunnyvale","1235 Oakmead Parkway",,37.387661,-121.992508
11700222,"Blue Kai","Cupertino","20883 Stevens Creek Boulevard",,37.323151,-122.038704
11710332,"W Hotel San Francisco","San Francisco","3rd St & Howard St",,37.785025,-122.400492
1173590,"Googleplex - Floor 1, Room 111","Mountain View","1400 Crittenden",,37.427187,-122.071345
1173919,"Johnny Foley's Irish House","San Francisco","243 O'Farrell St","(between Cyril Magnin St & Powell St) ",37.786328,-122.40865
11741902,"City Hall, Hearing Room 3","Oakland","1 Frank H Ogawa Plaza",,37.805316,-122.272533
1174368,"Salesforce.com San Mateo Office","San Mateo","900 Concar Dr",,37.555266,-122.299783
11757322,"Cosmo Lounge","San Francisco","440 Broadway St",,37.798157,-122.404564
1176066,"Fort Mason Center","San Francisco","38 Fort Mason ",,37.80459,-122.427547
1176937,"Sens Restaurant","San Francisco","100 Drumm Street","4 Embarcadero Center (Promenade Level)",37.794605,-122.396488
11782622,"NextSpace","San Francisco","1 Hallidie Plaza, 2nd Floor",,37.784138,-122.408646
11812192,"Adchemy Inc","Foster City","1001 East Hillsdale Boulevard",,37.559467,-122.271927
11829252,"Heavybit, Inc.","San Francisco","325 9th Street",,37.773453,-122.411034
1183207,"Manor West","San Francisco","750 Harrison Street ","between 3rd/4th St",37.781866,-122.398794
11832342,"2040 VLSB","Berkeley","Berkeley Campus",,37.87235,-122.25945
11843592,"Mission Bay Conference Center - Leach Conference Room","San Francisco","1675 Owens Street",,37.768002,-122.393478
11849252,"NetApp, Building 3","Sunnyvale","439 E. Java Drive",,37.408871,-122.010994
11849262,"NetApp, Building 3","Sunnyvale","439 E. Java Drive",,37.408871,-122.010994
11855742,"Stanford University | Room G102, GSB | Uderground Parking Free After 4PM","Stanford","655 Knight Way",,37.428082,-122.161499
11903572,"Google San Francisco","San Francisco","345 Spear Street",,37.7897,-122.390251
11910522,"Public Works","San Francisco","161 Erie Street",,37.768963,-122.419464
11928462,"DLA Piper","San Francisco","555 Mission Street",,37.788654,-122.398994
11973162,"Pedro's Cantina","San Francisco","158 King Street",,37.77895,-122.390953
11993322,"KPMG","San Francisco","55 2nd Street",,37.788872,-122.400322
12005522,"King of Thai Noodle & Bar","San Francisco","1268 Grant Avenue",,37.798706,-122.407013
